1,100,500,20500,86,6000,1.98,4,536.17,1
1,100,10500,30500,37,14000,2,4,539.47,1
1,100,20500,40500,15,35500,2.05,4,545.39,1
1,100,30500,50500,15,35500,2.05,4,545.39,1
1,100,40500,60500,10,55500,2.18,4,520.19,1
1,100,50500,70500,9,60000,2.05,4,507.67,1
1,100,60500,80500,7,80500,2.16,4,363.17,1
1,100,70500,90500,7,81500,2.15,4,362.08,1
1,100,80500,1.005e+05,6,91000,1.94,4,344.61,1
1,100,90500,1.105e+05,6,91000,1.94,4,344.61,1
1,100,1.005e+05,1.205e+05,6,1.005e+05,1.87,4,448.78,1
1,100,1.105e+05,1.305e+05,5,1.105e+05,1.64,4,530.05,1
1,100,1.205e+05,1.405e+05,5,1.205e+05,2.18,4,600.28,1
1,100,1.305e+05,1.505e+05,5,1.305e+05,2.14,4,655.51,1
1,100,1.405e+05,1.605e+05,4,1.475e+05,1.18,4,441.85,1
1,100,1.505e+05,1.705e+05,4,1.705e+05,1.9,4,531.68,1
1,100,1.605e+05,1.805e+05,4,1.775e+05,1.89,4,500.26,1
1,100,1.705e+05,1.905e+05,4,1.775e+05,1.89,4,500.26,1
1,100,1.805e+05,2.005e+05,4,1.805e+05,1.88,4,505.41,1
1,100,1.905e+05,2.105e+05,4,1.905e+05,1.84,4,596.41,1
1,100,2.005e+05,2.205e+05,4,2.005e+05,1.8,4,789.52,1
1,100,2.105e+05,2.305e+05,3,2.305e+05,1.25,4,835.55,1
1,100,2.205e+05,2.405e+05,3,2.405e+05,1.25,4,692.75,1
1,100,2.305e+05,2.505e+05,3,2.5e+05,1.23,4,651.39,1
1,100,2.405e+05,2.605e+05,3,2.5e+05,1.23,4,651.39,1
1,100,2.505e+05,2.705e+05,3,2.505e+05,1.23,4,651.54,1
1,100,2.605e+05,2.805e+05,3,2.605e+05,1.21,4,704.21,1
1,100,2.705e+05,2.905e+05,3,2.705e+05,1.19,4,840,1
1,100,2.805e+05,3.005e+05,3,2.805e+05,1.17,4,1050.4,1
10,1000,500,20500,510,1000,1.96,4,532.36,1
10,1000,10500,30500,30,17500,2.02,4,541,1
10,1000,20500,40500,20,26500,2.03,4,543.53,1
10,1000,30500,50500,20,30500,2.29,4,622.84,1
10,1000,40500,60500,10,55500,2.18,4,520.19,1
10,1000,50500,70500,10,55500,2.18,4,520.19,1
10,1000,60500,80500,10,66500,2.6,4,573.24,1
10,1000,70500,90500,10,70500,2.58,4,595.96,1
10,1000,80500,1.005e+05,10,80500,2.52,4,875.51,1
10,1000,90500,1.105e+05,10,90500,3.08,4,944.96,1
10,1000,1.005e+05,1.205e+05,10,1.205e+05,4.52,4,1320.1,1
10,1000,1.105e+05,1.305e+05,10,1.26e+05,4.46,4,1302.2,1
10,1000,1.205e+05,1.405e+05,10,1.26e+05,4.46,4,1302.2,1
10,1000,1.305e+05,1.505e+05,10,1.305e+05,4.42,4,1311.9,1
10,1000,1.405e+05,1.605e+05,10,1.405e+05,4.32,4,1398.3,1
10,1000,1.505e+05,1.705e+05,10,1.505e+05,4.23,4,1561.3,1
10,1000,1.605e+05,1.805e+05,10,1.605e+05,4.14,4,1786.1,1
10,1000,1.705e+05,1.905e+05,10,1.705e+05,4.06,4,2062.6,1
10,1000,1.805e+05,2.005e+05,10,1.805e+05,3.99,4,2381.6,1
10,1000,1.905e+05,2.105e+05,10,1.905e+05,3.92,4,2737.9,1
10,1000,2.005e+05,2.205e+05,10,2.005e+05,3.85,4,3126.6,1
10,1000,2.105e+05,2.305e+05,10,2.105e+05,3.79,4,3542.7,1
10,1000,2.205e+05,2.405e+05,10,2.205e+05,3.73,4,3984.3,1
10,1000,2.305e+05,2.505e+05,10,2.305e+05,3.67,4,4448.4,1
10,1000,2.405e+05,2.605e+05,10,2.405e+05,3.61,4,4933.8,1
10,1000,2.505e+05,2.705e+05,10,2.505e+05,3.56,4,5436.9,1
10,1000,2.605e+05,2.805e+05,10,2.605e+05,3.51,4,5958.5,1
10,1000,2.705e+05,2.905e+05,10,2.705e+05,3.46,4,6496.8,1
10,1000,2.805e+05,3.005e+05,10,2.805e+05,3.41,4,7050.6,1
100,10000,500,20500,200,2500,1.95,4,535.87,1
100,10000,10500,30500,100,10500,3.04,4,1195.3,1
100,10000,20500,40500,100,20500,3.85,4,1704.7,1
100,10000,30500,50500,100,30500,4.33,4,1893.6,1
100,10000,40500,60500,100,40500,4.68,4,1971.7,1
100,10000,50500,70500,100,50500,4.85,4,2155.7,1
100,10000,60500,80500,100,60500,5,4,2268.5,1
100,10000,70500,90500,100,70500,5,4,2410.8,1
100,10000,80500,1.005e+05,100,80500,5,4,2886.5,1
100,10000,90500,1.105e+05,100,90500,5,4,3358.2,1
100,10000,1.005e+05,1.205e+05,100,1.005e+05,5,4,3598.1,1
100,10000,1.105e+05,1.305e+05,100,1.105e+05,5,4,3952.7,1
100,10000,1.205e+05,1.405e+05,100,1.205e+05,5,4,4532,1
100,10000,1.305e+05,1.505e+05,100,1.305e+05,5,4,5303.1,1
100,10000,1.405e+05,1.605e+05,100,1.405e+05,5,4,6174.6,1
100,10000,1.505e+05,1.705e+05,100,1.505e+05,5,4,7043.4,1
100,10000,1.605e+05,1.805e+05,100,1.605e+05,5,4,7829.3,1
100,10000,1.705e+05,1.905e+05,100,1.705e+05,5,4,8489.2,1
100,10000,1.805e+05,2.005e+05,100,1.805e+05,5,4,9016.2,1
100,10000,1.905e+05,2.105e+05,100,1.905e+05,5,4,9427.6,1
100,10000,2.005e+05,2.205e+05,100,2.005e+05,5,4,9752.7,1
